name	power	power.value1	power.value2	minLevel	itemTypes	alignment	doubleChance	useful	minVal	maxVal	multVal
Crimson	FIRERES	16	20	10	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	2100	3000	2
Crimson	FIRERES	21	25	16	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	3100	4000	2
Garnet	FIRERES	26	30	20	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	8200	12000	3
Ruby	FIRERES	31	40	26	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	17100	20000	5
Blue	LIGHTRES	11	15	4	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	500	1500	2
Azure	LIGHTRES	16	20	10	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	2100	3000	2
Lapis	LIGHTRES	21	25	16	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	3100	4000	2
Cobalt	LIGHTRES	26	30	20	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	8200	12000	3
Sapphire	LIGHTRES	31	40	26	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	17100	20000	5
White	MAGICRES	11	15	4	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	500	1500	2
Pearl	MAGICRES	16	20	10	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	2100	3000	2
Ivory	MAGICRES	21	25	16	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	3100	4000	2
Crystal	MAGICRES	26	30	20	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	8200	12000	3
Diamond	MAGICRES	31	40	26	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	17100	20000	5
Topaz	ALLRES	6	10	8	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	2000	5000	3
Amber	ALLRES	11	15	12	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	7400	10000	3
Jade	ALLRES	16	20	18	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	11000	15000	3
Obsidian	ALLRES	21	25	24	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	24000	40000	4
Emerald	ALLRES	26	30	44	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	61000	75000	7
Hyena's	MANA_CURSE	11	25	4	Staff,Misc	Any	false	false	100	1000	-2
Frog's	MANA_CURSE	1	10	1	Staff,Misc	Evil	false	false	0	0	-2
Spider's	MANA	10	15	1	Armor,Shield,Staff,Misc	Evil	false	true	500	1000	2
Raven's	MANA	15	20	5	Armor,Shield,Staff,Misc	Any	false	true	1100	2000	3
Snake's	MANA	21	30	9	Armor,Shield,Staff,Misc	Any	false	true	2100	4000	5
Serpent's	MANA	30	40	15	Armor,Shield,Staff,Misc	Any	false	true	4100	6000	7
Drake's	MANA	41	50	21	Armor,Shield,Staff,Misc	Any	false	true	6100	10000	9
Dragon's	MANA	51	60	27	Armor,Shield,Staff,Misc	Any	false	true	10100	15000	11
Wyrm's	MANA	61	80	35	Armor,Shield,Staff,Misc	Any	false	true	15100	19000	12
Hydra's	MANA	81	100	44	Armor,Shield,Staff,Misc	Any	false	true	19100	30000	13
Angel's	SPLLVLADD	1	1	25	Staff,Misc	Good	false	true	25000	25000	2
Arch-Angel's	SPLLVLADD	2	2	44	Staff,Misc	Good	false	true	50000	50000	3
Plentiful	CHARGES	2	2	4	Staff	Any	false	true	2000	2000	2
Bountiful	CHARGES	3	3	9	Staff	Any	false	true	3000	3000	3
Flaming	FIREDAM	1	50	44	Armor,Shield,Weapon,Staff,Misc	Any	false	true	5000	5000	2
Lightning	LIGHTDAM	2	50	44	Armor,Shield,Weapon,Staff,Misc	Any	false	true	10000	10000	2
Jester's	JESTERS	1	1	7	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	1200	1200	3
Crystalline	CRYSTALLINE	30	70	5	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	1000	3000	3
Doppelganger's	DOPPELGANGER	81	95	11	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	2000	2400	10
